Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Caesar, seller: Camilla, eval: spreadcrossing -> PNL: -194683.5, buy_qty: 0, sell_qty: 1499
Product: KELP, buyer: Pablo, seller: Camilla, eval: spreadcrossing -> PNL: -903.0, buy_qty: 112, sell_qty: 98
Product: KELP, buyer: Charlie, seller: Penelope, eval: spreadcrossing -> PNL: -897.5, buy_qty: 340, sell_qty: 349
Product: RAINFOREST_RESIN, buyer: Pablo, seller: Paris, eval: spreadcrossing -> PNL: -889.0, buy_qty: 84, sell_qty: 63
Product: SQUID_INK, buyer: Gary, seller: Paris, eval: midpoint -> PNL: -889.0, buy_qty: 7, sell_qty: 26
Product: PICNIC_BASKET1, buyer: Caesar, seller: Penelope, eval: midpoint -> PNL: -862.0, buy_qty: 244, sell_qty: 231
Product: PICNIC_BASKET1, buyer: Charlie, seller: Penelope, eval: spreadcrossing -> PNL: -855.0, buy_qty: 17, sell_qty: 9
Product: VOLCANIC_ROCK_VOUCHER_9750, buyer: Penelope, seller: Camilla, eval: midpoint -> PNL: -839.5, buy_qty: 362, sell_qty: 393
Product: SQUID_INK, buyer: Caesar, seller: Camilla, eval: spreadcrossing -> PNL: -786.5, buy_qty: 26, sell_qty: 45
Product: VOLCANIC_ROCK_VOUCHER_10500, buyer: Camilla, seller: Pablo, eval: midpoint -> PNL: -775.0, buy_qty: 385, sell_qty: 0
Product: SQUID_INK, buyer: Gina, seller: Paris, eval: spreadcrossing -> PNL: -760.0, buy_qty: 22, sell_qty: 22
Product: KELP, buyer: Caesar, seller: Pablo, eval: spreadcrossing -> PNL: -756.0, buy_qty: 48, sell_qty: 20
Product: RAINFOREST_RESIN, buyer: Paris, seller: Pablo, eval: spreadcrossing -> PNL: -735.0, buy_qty: 63, sell_qty: 84
Product: PICNIC_BASKET1, buyer: Charlie, seller: Penelope, eval: midpoint -> PNL: -734.0, buy_qty: 17, sell_qty: 9
Product: SQUID_INK, buyer: Gina, seller: Paris, eval: midpoint -> PNL: -710.5, buy_qty: 22, sell_qty: 22
Product: SQUID_INK, buyer: Caesar, seller: Camilla, eval: midpoint -> PNL: -704.5, buy_qty: 26, sell_qty: 45
Product: RAINFOREST_RESIN, buyer: Camilla, seller: Paris, eval: spreadcrossing -> PNL: -679.0, buy_qty: 51, sell_qty: 44
Product: KELP, buyer: Caesar, seller: Pablo, eval: midpoint -> PNL: -675.0, buy_qty: 48, sell_qty: 20
Product: VOLCANIC_ROCK_VOUCHER_10000, buyer: Pablo, seller: Camilla, eval: spreadcrossing -> PNL: -667.5, buy_qty: 0, sell_qty: 389
Product: RAINFOREST_RESIN, buyer: Caesar, seller: Pablo, eval: spreadcrossing -> PNL: -654.0, buy_qty: 86, sell_qty: 77
Product: SQUID_INK, buyer: Charlie, seller: Penelope, eval: midpoint -> PNL: -652.5, buy_qty: 338, sell_qty: 354
Product: KELP, buyer: Pablo, seller: Camilla, eval: midpoint -> PNL: -634.5, buy_qty: 112, sell_qty: 98
Product: SQUID_INK, buyer: Gary, seller: Charlie, eval: spreadcrossing -> PNL: -599.5, buy_qty: 216, sell_qty: 203
Product: RAINFOREST_RESIN, buyer: Charlie, seller: Gina, eval: spreadcrossing -> PNL: -540.0, buy_qty: 83, sell_qty: 62
Product: RAINFOREST_RESIN, buyer: Paris, seller: Camilla, eval: spreadcrossing -> PNL: -539.0, buy_qty: 44, sell_qty: 51
Product: VOLCANIC_ROCK, buyer: Caesar, seller: Pablo, eval: spreadcrossing -> PNL: -539.0, buy_qty: 196, sell_qty: 178
Product: SQUID_INK, buyer: Charlie, seller: Olivia, eval: spreadcrossing -> PNL: -532.0, buy_qty: 3, sell_qty: 3
Product: KELP, buyer: Paris, seller: Penelope, eval: spreadcrossing -> PNL: -526.0, buy_qty: 31, sell_qty: 11
Product: SQUID_INK, buyer: Charlie, seller: Olivia, eval: midpoint -> PNL: -525.0, buy_qty: 3, sell_qty: 3
Product: SQUID_INK, buyer: Charlie, seller: Gary, eval: spreadcrossing -> PNL: -519.5, buy_qty: 203, sell_qty: 216
Product: KELP, buyer: Caesar, seller: Gina, eval: spreadcrossing -> PNL: -501.0, buy_qty: 28, sell_qty: 6
Product: KELP, buyer: Paris, seller: Pablo, eval: spreadcrossing -> PNL: -488.0, buy_qty: 85, sell_qty: 77
Product: KELP, buyer: Paris, seller: Penelope, eval: midpoint -> PNL: -477.0, buy_qty: 31, sell_qty: 11
Product: VOLCANIC_ROCK_VOUCHER_10250, buyer: Camilla, seller: Penelope, eval: spreadcrossing -> PNL: -470.0, buy_qty: 99, sell_qty: 89
Product: VOLCANIC_ROCK_VOUCHER_10250, buyer: Caesar, seller: Pablo, eval: spreadcrossing -> PNL: -469.0, buy_qty: 47, sell_qty: 7
Product: KELP, buyer: Caesar, seller: Gina, eval: midpoint -> PNL: -462.0, buy_qty: 28, sell_qty: 6
Product: KELP, buyer: Camilla, seller: Paris, eval: spreadcrossing -> PNL: -459.5, buy_qty: 528, sell_qty: 569
Product: KELP, buyer: Paris, seller: Gary, eval: spreadcrossing -> PNL: -454.5, buy_qty: 26, sell_qty: 9
Product: RAINFOREST_RESIN, buyer: Camilla, seller: Penelope, eval: spreadcrossing -> PNL: -437.0, buy_qty: 29, sell_qty: 34
Product: KELP, buyer: Paris, seller: Gary, eval: midpoint -> PNL: -415.0, buy_qty: 26, sell_qty: 9
Product: KELP, buyer: Gary, seller: Camilla, eval: spreadcrossing -> PNL: -411.5, buy_qty: 45, sell_qty: 30
Product: KELP, buyer: Camilla, seller: Penelope, eval: spreadcrossing -> PNL: -410.5, buy_qty: 72, sell_qty: 69
Product: VOLCANIC_ROCK_VOUCHER_10250, buyer: Caesar, seller: Pablo, eval: midpoint -> PNL: -393.5, buy_qty: 47, sell_qty: 7
Product: JAMS, buyer: Paris, seller: Caesar, eval: spreadcrossing -> PNL: -377.0, buy_qty: 1217, sell_qty: 1255
Product: VOLCANIC_ROCK_VOUCHER_10250, buyer: Camilla, seller: Penelope, eval: midpoint -> PNL: -376.5, buy_qty: 99, sell_qty: 89
Product: RAINFOREST_RESIN, buyer: Gina, seller: Caesar, eval: spreadcrossing -> PNL: -370.0, buy_qty: 28, sell_qty: 26
Product: KELP, buyer: Gary, seller: Charlie, eval: midpoint -> PNL: -366.0, buy_qty: 212, sell_qty: 205
Product: KELP, buyer: Gary, seller: Caesar, eval: spreadcrossing -> PNL: -349.0, buy_qty: 25, sell_qty: 13
Product: VOLCANIC_ROCK_VOUCHER_10000, buyer: Camilla, seller: Penelope, eval: spreadcrossing -> PNL: -347.5, buy_qty: 288, sell_qty: 259
Product: SQUID_INK, buyer: Pablo, seller: Caesar, eval: spreadcrossing -> PNL: -342.0, buy_qty: 20, sell_qty: 56
Product: RAINFOREST_RESIN, buyer: Gina, seller: Paris, eval: spreadcrossing -> PNL: -340.0, buy_qty: 27, sell_qty: 22
Product: VOLCANIC_ROCK_VOUCHER_9500, buyer: Penelope, seller: Camilla, eval: midpoint -> PNL: -339.0, buy_qty: 361, sell_qty: 388
Product: RAINFOREST_RESIN, buyer: Penelope, seller: Camilla, eval: spreadcrossing -> PNL: -334.0, buy_qty: 34, sell_qty: 29
Product: SQUID_INK, buyer: Gina, seller: Caesar, eval: spreadcrossing -> PNL: -327.0, buy_qty: 6, sell_qty: 20
Product: RAINFOREST_RESIN, buyer: Gina, seller: Camilla, eval: spreadcrossing -> PNL: -325.0, buy_qty: 17, sell_qty: 29
Product: KELP, buyer: Gary, seller: Camilla, eval: midpoint -> PNL: -316.0, buy_qty: 45, sell_qty: 30
Product: SQUID_INK, buyer: Gary, seller: Pablo, eval: spreadcrossing -> PNL: -309.0, buy_qty: 6, sell_qty: 4
Product: SQUID_INK, buyer: Penelope, seller: Gina, eval: spreadcrossing -> PNL: -302.0, buy_qty: 1, sell_qty: 5
Product: KELP, buyer: Gary, seller: Caesar, eval: midpoint -> PNL: -298.0, buy_qty: 25, sell_qty: 13
Product: SQUID_INK, buyer: Gary, seller: Pablo, eval: midpoint -> PNL: -298.0, buy_qty: 6, sell_qty: 4
Product: SQUID_INK, buyer: Penelope, seller: Gina, eval: midpoint -> PNL: -297.0, buy_qty: 1, sell_qty: 5
Product: RAINFOREST_RESIN, buyer: Paris, seller: Penelope, eval: spreadcrossing -> PNL: -294.0, buy_qty: 17, sell_qty: 25
Product: SQUID_INK, buyer: Gina, seller: Caesar, eval: midpoint -> PNL: -294.0, buy_qty: 6, sell_qty: 20
Product: KELP, buyer: Paris, seller: Pablo, eval: midpoint -> PNL: -292.0, buy_qty: 85, sell_qty: 77
Product: VOLCANIC_ROCK_VOUCHER_10250, buyer: Caesar, seller: Penelope, eval: spreadcrossing -> PNL: -280.5, buy_qty: 44, sell_qty: 35
Product: SQUID_INK, buyer: Penelope, seller: Charlie, eval: spreadcrossing -> PNL: -272.0, buy_qty: 354, sell_qty: 338
